Fecha,Precio
14/12/2019,"28,03"
13/12/2019,"27,17"
12/12/2019,"38,58"
11/12/2019,"43,40"
10/12/2019,"46,60"
9/12/2019,"41,36"
8/12/2019,"40,98"
7/12/2019,"47,26"
6/12/2019,"47,67"
5/12/2019,"47,67"
4/12/2019,"53,95"
3/12/2019,"50,08"
2/12/2019,"44,82"
1/12/2019,"43,29"
30/11/2019,"41,36"
29/11/2019,"47,53"
28/11/2019,"40,21"
27/11/2019,"42,07"
26/11/2019,"44,81"
25/11/2019,"47,12"
24/11/2019,"41,02"
23/11/2019,"36,78"
22/11/2019,"46,31"
21/11/2019,"55,42"
20/11/2019,"57,85"
19/11/2019,"57,49"
18/11/2019,"50,01"
17/11/2019,"43,34"
16/11/2019,"45,75"
15/11/2019,"48,21"
14/11/2019,"45,52"
13/11/2019,"48,19"
12/11/2019,"48,06"
11/11/2019,"44,74"
10/11/2019,"37,27"
9/11/2019,"40,92"
8/11/2019,"37,59"
7/11/2019,"39,30"
6/11/2019,"40,64"
5/11/2019,"29,62"
4/11/2019,"28,48"
3/11/2019,"18,88"
2/11/2019,"28,44"
1/11/2019,"32,84"
31/10/2019,"49,26"
30/10/2019,"51,96"
29/10/2019,"53,90"
28/10/2019,"53,85"
27/10/2019,"46,11"
26/10/2019,"45,86"
25/10/2019,"48,80"
24/10/2019,"45,40"
23/10/2019,"45,74"
22/10/2019,"49,40"
21/10/2019,"54,34"
20/10/2019,"41,45"
19/10/2019,"43,36"
18/10/2019,"46,08"
17/10/2019,"47,09"
16/10/2019,"43,24"
15/10/2019,"42,57"
14/10/2019,"42,42"
13/10/2019,"37,97"
12/10/2019,"39,22"
11/10/2019,"48,46"
10/10/2019,"46,96"
9/10/2019,"47,89"
8/10/2019,"54,32"
7/10/2019,"50,50"
6/10/2019,"45,24"
5/10/2019,"49,07"
4/10/2019,"52,74"
3/10/2019,"48,29"
2/10/2019,"43,42"
1/10/2019,"47,33"
30/9/2019,"49,37"
29/9/2019,"42,07"
28/9/2019,"45,68"
27/9/2019,"48,56"
26/9/2019,"48,55"
25/9/2019,"44,01"
24/9/2019,"42,99"
23/9/2019,"45,70"
22/9/2019,"37,76"
21/9/2019,"39,86"
20/9/2019,"48,50"
19/9/2019,"50,61"
18/9/2019,"50,24"
17/9/2019,"50,40"
16/9/2019,"47,98"
15/9/2019,"38,06"
14/9/2019,"37,23"
13/9/2019,"38,94"
12/9/2019,"38,42"
11/9/2019,"34,33"
10/9/2019,"34,32"
9/9/2019,"43,58"
8/9/2019,"34,39"
7/9/2019,"32,87"
6/9/2019,"36,29"
5/9/2019,"37,37"
4/9/2019,"43,39"
3/9/2019,"43,49"
2/9/2019,"39,11"
1/9/2019,"39,32"
31/8/2019,"43,84"
30/8/2019,"49,39"
29/8/2019,"50,07"
28/8/2019,"51,19"
27/8/2019,"50,31"
26/8/2019,"43,18"
25/8/2019,"39,28"
24/8/2019,"42,14"
23/8/2019,"41,41"
22/8/2019,"41,00"
21/8/2019,"41,11"
20/8/2019,"40,03"
19/8/2019,"41,48"
18/8/2019,"38,88"
17/8/2019,"41,91"
16/8/2019,"44,48"
15/8/2019,"40,78"
14/8/2019,"45,70"
13/8/2019,"42,93"
12/8/2019,"43,59"
11/8/2019,"42,48"
10/8/2019,"46,19"
9/8/2019,"43,95"
8/8/2019,"47,89"
7/8/2019,"49,46"
6/8/2019,"49,97"
5/8/2019,"50,27"
4/8/2019,"46,41"
3/8/2019,"47,41"
2/8/2019,"48,85"
1/8/2019,"48,21"
31/7/2019,"47,11"
30/7/2019,"48,03"
29/7/2019,"47,97"
28/7/2019,"45,59"
27/7/2019,"45,94"
26/7/2019,"52,34"
25/7/2019,"53,67"
24/7/2019,"55,83"
23/7/2019,"55,03"
22/7/2019,"56,13"
21/7/2019,"49,30"
20/7/2019,"50,59"
19/7/2019,"52,46"
18/7/2019,"53,92"
17/7/2019,"52,67"
16/7/2019,"51,50"
15/7/2019,"52,36"
14/7/2019,"48,89"
13/7/2019,"51,31"
12/7/2019,"57,09"
11/7/2019,"54,00"
10/7/2019,"51,42"
9/7/2019,"52,48"
8/7/2019,"51,15"
7/7/2019,"49,62"
6/7/2019,"51,78"
5/7/2019,"56,02"
4/7/2019,"53,06"
3/7/2019,"50,95"
2/7/2019,"48,81"
1/7/2019,"48,32"
30/6/2019,"46,70"
29/6/2019,"49,26"
28/6/2019,"51,94"
27/6/2019,"49,53"
26/6/2019,"47,28"
25/6/2019,"50,07"
24/6/2019,"48,61"
23/6/2019,"42,61"
22/6/2019,"46,19"
21/6/2019,"46,72"
20/6/2019,"46,57"
19/6/2019,"46,99"
18/6/2019,"46,60"
17/6/2019,"49,19"
16/6/2019,"46,67"
15/6/2019,"45,57"
14/6/2019,"46,32"
13/6/2019,"46,41"
12/6/2019,"48,20"
11/6/2019,"45,36"
10/6/2019,"44,74"
9/6/2019,"43,30"
8/6/2019,"46,25"
7/6/2019,"41,63"
6/6/2019,"43,82"
5/6/2019,"45,33"
4/6/2019,"49,41"
3/6/2019,"53,42"
2/6/2019,"47,82"
1/6/2019,"53,28"
31/5/2019,"55,32"
30/5/2019,"52,41"
29/5/2019,"47,58"
28/5/2019,"47,16"
27/5/2019,"50,67"
26/5/2019,"40,46"
25/5/2019,"42,33"
24/5/2019,"49,04"
23/5/2019,"57,07"
22/5/2019,"57,99"
21/5/2019,"56,87"
20/5/2019,"52,74"
19/5/2019,"48,07"
18/5/2019,"46,31"
17/5/2019,"43,80"
16/5/2019,"52,47"
15/5/2019,"53,70"
14/5/2019,"51,42"
13/5/2019,"47,13"
12/5/2019,"36,42"
11/5/2019,"49,92"
10/5/2019,"47,27"
9/5/2019,"45,80"
8/5/2019,"38,77"
7/5/2019,"51,92"
6/5/2019,"53,05"
5/5/2019,"33,87"
4/5/2019,"44,47"
3/5/2019,"50,10"
2/5/2019,"45,65"
1/5/2019,"50,29"
30/4/2019,"58,78"
29/4/2019,"57,91"
28/4/2019,"52,60"
27/4/2019,"55,67"
26/4/2019,"48,92"
25/4/2019,"29,69"
24/4/2019,"40,01"
23/4/2019,"49,22"
22/4/2019,"55,76"
21/4/2019,"39,69"
20/4/2019,"31,75"
19/4/2019,"37,31"
18/4/2019,"55,09"
17/4/2019,"47,05"
16/4/2019,"57,17"
15/4/2019,"53,80"
14/4/2019,"52,62"
13/4/2019,"57,54"
12/4/2019,"56,97"
11/4/2019,"54,65"
10/4/2019,"50,83"
9/4/2019,"50,31"
8/4/2019,"53,26"
7/4/2019,"47,22"
6/4/2019,"44,30"
5/4/2019,"51,35"
4/4/2019,"53,39"
3/4/2019,"52,93"
2/4/2019,"57,98"
1/4/2019,"58,43"
31/3/2019,"51,47"
30/3/2019,"51,93"
29/3/2019,"53,00"
28/3/2019,"50,83"
27/3/2019,"47,18"
26/3/2019,"41,09"
25/3/2019,"42,53"
24/3/2019,"44,30"
23/3/2019,"51,22"
22/3/2019,"55,73"
21/3/2019,"52,43"
20/3/2019,"48,64"
19/3/2019,"49,88"
18/3/2019,"48,77"
17/3/2019,"34,75"
16/3/2019,"51,29"
15/3/2019,"54,79"
14/3/2019,"51,59"
13/3/2019,"45,86"
12/3/2019,"52,04"
11/3/2019,"51,89"
10/3/2019,"47,23"
9/3/2019,"54,39"
8/3/2019,"55,70"
7/3/2019,"50,47"
6/3/2019,"37,82"
5/3/2019,"52,61"
4/3/2019,"41,11"
3/3/2019,"39,78"
2/3/2019,"48,75"
1/3/2019,"54,44"
28/2/2019,"52,93"
27/2/2019,"52,81"
26/2/2019,"53,13"
25/2/2019,"55,32"
24/2/2019,"51,08"
23/2/2019,"51,77"
22/2/2019,"53,28"
21/2/2019,"54,76"
